Date,AAPL,AMZN,NVDA
2025-01-02,242.75209045410156,220.22000122070312,138.27218627929688
2025-01-03,242.26429748535156,224.19000244140625,144.4304962158203
2025-01-06,243.8969268798828,227.61000061035156,149.38912963867188
2025-01-07,241.11947631835938,222.11000061035156,140.10166931152344
2025-01-08,241.60726928710938,222.1300048828125,140.07168579101562
2025-01-10,235.7836151123047,218.94000244140625,135.8728485107422
2025-01-13,233.34461975097656,218.4600067138672,133.19357299804688
2025-01-14,232.22967529296875,217.75999450683594,131.7239532470703
2025-01-15,236.79901123046875,223.35000610351562,136.2027587890625
2025-01-16,227.23228454589844,220.66000366210938,133.53347778320312
2025-01-17,228.94454956054688,225.94000244140625,137.67234802246094
2025-01-21,221.63758850097656,230.7100067138672,140.79148864746094
2025-01-22,222.8222198486328,235.00999450683594,147.02980041503906
2025-01-23,222.6529998779297,235.4199981689453,147.17974853515625
2025-01-24,221.77696228027344,234.85000610351562,142.5810089111328
2025-01-27,228.82508850097656,235.4199981689453,118.38761901855469
2025-01-28,237.18727111816406,238.14999389648438,128.95472717285156
2025-01-29,238.2823028564453,237.07000732421875,123.66616821289062
2025-01-30,236.520263671875,234.63999938964844,124.61592102050781
2025-01-31,234.93743896484375,237.67999267578125,120.03717041015625
2025-02-03,226.9833984375,237.4199981689453,116.62810516357422
2025-02-04,231.75184631347656,242.05999755859375,118.6175537109375
2025-02-05,231.42333984375,236.1699981689453,124.79586791992188
2025-02-06,232.16995239257812,238.8300018310547,128.6448211669922
2025-02-07,226.60513305664062,229.14999389648438,129.8044891357422
2025-02-10,226.8741912841797,233.13999938964844,133.53347778320312
2025-02-11,231.82725524902344,232.75999450683594,132.76370239257812
2025-02-12,236.06277465820312,228.92999267578125,131.10414123535156
2025-02-13,240.70689392089844,230.3699951171875,135.25299072265625
2025-02-14,243.7664337158203,228.67999267578125,138.81202697753906
2025-02-18,243.6368865966797,226.64999389648438,139.36187744140625
2025-02-19,244.03550720214844,226.6300048828125,139.19192504882812
2025-02-20,244.99224853515625,222.8800048828125,140.07168579101562
2025-02-21,244.7132110595703,216.5800018310547,134.3932342529297
2025-02-24,246.25791931152344,212.7100067138672,130.244384765625
2025-02-25,246.19810485839844,212.8000030517578,126.59536743164062
2025-02-26,239.5408935546875,214.35000610351562,131.24411010742188
2025-02-27,236.49131774902344,208.74000549316406,120.11714172363281
2025-02-28,241.01583862304688,212.27999877929688,124.8858413696289
